City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
216,Kayes,ML,14.0,-11.0,82.92,21,0,5.06,clear sky
217,Qianan,CN,44.9932,124.0581,43.05,17,100,21.52,overcast clouds
218,Vao,NC,-22.6667,167.4833,78.82,85,100,14.25,moderate rain
219,Calvinia,ZA,-31.4707,19.776,52.68,73,64,7.52,broken clouds
220,Kodiak,US,57.79,-152.4072,33.31,55,0,8.05,clear sky
221,Grand Gaube,MU,-20.0064,57.6608,81.37,82,92,11.01,overcast clouds
222,Acapulco,MX,16.8634,-99.8901,69.62,88,0,3.44,clear sky
223,Srednekolymsk,RU,67.45,153.6833,-5.91,97,83,4.74,broken clouds
224,Emerald,AU,-23.5333,148.1667,89.74,31,40,4.61,scattered clouds
225,East London,ZA,-33.0153,27.9116,72.54,53,0,11.5,clear sky
226,Igarka,RU,67.4667,86.5833,28.87,89,99,19.66,overcast clouds
227,Smithers,CA,54.7804,-127.1743,30.52,86,75,0.0,broken clouds
228,Monte Patria,CL,-30.6919,-70.9467,65.79,44,0,0.16,clear sky
229,Mount Gambier,AU,-37.8333,140.7667,58.91,72,75,6.91,light rain
230,Alta Floresta,BR,-9.8756,-56.0861,68.7,99,100,2.26,overcast clouds
231,Envira,BR,-7.3,-70.2167,73.65,85,100,0.96,overcast clouds
232,Novo Aripuana,BR,-5.1206,-60.3797,72.59,99,100,1.28,overcast clouds
233,Boali,CF,4.8005,18.1275,86.0,52,73,4.27,light rain
234,Chas,IN,23.6333,86.1667,104.9,8,3,3.51,clear sky
235,Buchanan,LR,5.8808,-10.0467,80.24,86,80,3.38,broken clouds
236,Jasper,US,37.2001,-94.3502,55.67,90,100,9.22,overcast clouds
237,Erzin,TR,36.9559,36.2,68.79,50,100,3.47,overcast clouds
238,Marystown,CA,47.1666,-55.1483,36.86,100,97,1.01,overcast clouds
239,Tulagi,SB,-9.0996,160.1476,78.67,88,100,11.68,overcast clouds
240,Vibo Valentia,IT,38.6996,16.1274,54.19,58,4,3.47,clear sky
241,La Ronge,CA,55.1001,-105.2842,34.05,75,40,16.11,scattered clouds
242,Valer,NO,60.6785,11.8331,33.85,65,72,5.95,broken clouds
243,San Patricio,US,28.017,-97.5169,75.29,96,100,6.17,overcast clouds
244,Bandarbeyla,SO,9.4942,50.8122,85.41,51,2,9.1,clear sky
