City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Codrington,AU,2022-03-29 18:53:11,-38.2667,141.9667,59.38,59,100,9.84
162,San Patricio,US,2022-03-29 18:53:12,28.017,-97.5169,82.49,54,16,25.14
163,Olinda,BR,2022-03-29 18:52:19,-8.0089,-34.8553,85.73,70,40,11.5
164,Clarence Town,AU,2022-03-29 18:53:12,-32.5833,151.7833,71.94,97,100,1.45
165,Waspan,NI,2022-03-29 18:53:13,14.7419,-83.9717,86.4,55,45,9.01
166,Luderitz,NA,2022-03-29 18:53:13,-26.6481,15.1594,64.04,81,66,10.65
167,Kodiak,US,2022-03-29 18:50:28,57.79,-152.4072,35.11,93,100,0.0
168,Byron Bay,AU,2022-03-29 18:51:48,-28.65,153.6167,67.95,97,100,18.95
169,Torbay,CA,2022-03-29 18:53:14,47.6666,-52.7314,35.28,92,100,16.11
170,Kununurra,AU,2022-03-29 18:53:15,-15.7667,128.7333,76.98,88,97,2.3
171,Kilindoni,TZ,2022-03-29 18:53:15,-7.9139,39.6668,83.28,72,59,10.78
172,Thinadhoo,MV,2022-03-29 18:53:16,0.5333,72.9333,82.18,67,3,4.68
173,Majene,ID,2022-03-29 18:53:17,-3.5403,118.9707,77.14,87,100,3.18
174,Eureka,US,2022-03-29 18:50:40,40.8021,-124.1637,53.2,91,52,1.01
175,Airai,TL,2022-03-29 18:53:18,-8.9266,125.4092,59.74,95,96,0.63
176,Pingliang,CN,2022-03-29 18:53:19,35.5392,106.6861,47.32,33,100,1.43
177,Pisco,PE,2022-03-29 18:53:19,-13.7,-76.2167,73.45,64,0,21.85
178,Gandajika,CD,2022-03-29 18:53:20,-6.75,23.95,65.61,97,99,2.77
179,Alta Floresta,BR,2022-03-29 18:53:21,-9.8756,-56.0861,85.82,74,75,5.75
180,Srandakan,ID,2022-03-29 18:53:21,-7.9386,110.2506,77.41,86,83,3.67
181,Porbandar,IN,2022-03-29 18:53:22,21.6422,69.6093,79.16,74,0,8.08
182,Aksu,CN,2022-03-29 18:53:22,41.1231,80.2644,46.09,73,12,3.15
